"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","folded_aspect_ns","slope","tpi","tri","roughness","flowdir","satvi","tndvi","weights"
"76",1523,1997,2379,2855,3436,3142,0.0909438288116163,0.208497590889181,0.136402712771038,1.20008406893653,0.18177128116939,-1221.6046,5540.0361,-3079.1531,6,1270,90,0.954841256141663,-0.375,0.375,1,64,0.272633479494454,54.5471914405808,0.151103289026492
"77",1086,1461,1768,2159,3070,2678,0.0995670995670996,0.211442786069652,0.1493316359007,1.22115384615385,0.269119470855726,-961.0862,4290.4312,-2881.6785,22.67,1433,18.4349365234375,5.26965808868408,-0.875,2.125,7,64,0.403637490957941,54.978354978355,0.151943400212708
"78",976,1410,1824,2353,3335,2841,0.126645918123055,0.221227835396454,0.189946140035907,1.29002192982456,0.292886218259353,-845.883,4474.5996,-3193.5645,60,2067,116.565048217773,1.06752026081085,-0.125,0.375,2,8,0.439286752592305,56.3322959061527,0.515251873494262
"79",752,1058,1558,2009,2542,2265,0.126436781609195,0.19718433018538,0.189628591450596,1.28947368421053,0.24,-593.9908,3638.3326,-2459.6196,28,1498,116.565048217773,5.32285261154175,-0.875,2.375,8,2,0.359956102914279,56.3218390804598,0.143072911752846
"80",515,726,884,2031,1822,1311,0.393481989708405,0.825536202677415,0.590121762990911,2.29751131221719,0.346637102734664,193.6484,2857.4117,-1590.603,66.66,1390,23.1985912322998,1.8175220489502,-1.125,1.375,4,128,0.519859597265842,69.6740994854202,0.053583961431409
"81",702,886,1238,1837,2305,1868,0.19479674796748,0.374281429642589,0.292147618273451,1.48384491114701,0.301157211402766,-380.1908,3189.9266,-2155.7791,56,1341,57.99462890625,4.49514865875244,-0.125,1.875,6,32,0.451672075631438,59.739837398374,0.103710935312145
"82",495,741,1092,2167,2459,1785,0.329855783982817,0.536694957563655,0.494707777266452,1.98443223443223,0.38496198254013,54.9158000000002,3253.4571,-2305.8196,0.67,1332,135,0.675206005573273,0,0.25,2,2,0.577361678164156,66.4927891991408,0.0595265496677706
"83",555,838,934,2631,2541,1780,0.47601683029453,1.04148766417086,0.713925115692049,2.8169164882227,0.462446043165468,395.0128,3592.8379,-2313.3521,4,1900,20.5560455322266,8.10443592071533,1.25,3.5,11,128,0.693569270608546,73.8008415147265,0.087446630109065
"84",613,820,1150,1900,2278,1688,0.245901639344262,0.446056857380754,0.36879200131126,1.65217391304348,0.329054842473746,-195.0668,3106.6489,-2079.7148,49.33,1333,74.7448806762695,2.71992325782776,-0.375,1.125,3,1,0.493510281464197,62.2950819672131,0.0562626375818643
"85",867,1193,1485,2091,2535,2100,0.169463087248322,0.336704078230915,0.254159094086397,1.40808080808081,0.261194029850746,-546.3464,3733.5939,-2307.6554,28.67,1279,135,0.675206005573273,0,0.25,2,2,0.39174232060689,58.4731543624161,0.16351833062389
"86",685,990,1172,2271,2414,1835,0.319198373511473,0.659426377055082,0.478728038333091,1.9377133105802,0.346346904629113,-72.9284000000001,3521.3903,-2180.9938,22,2272,145.954055786133,20.4111671447754,3.25,9.5,26,1,0.519447929736512,65.9599186755736,0.149976738448405
"87",720,981,1218,2106,2175,1700,0.267148014440433,0.552926525529265,0.400661753647165,1.72906403940887,0.282051282051282,-176.0506,3357.117,-1925.223,33.33,2602,113.428695678711,15.2410268783569,-2.625,6.375,20,1,0.423014586709887,63.3574007220217,0.215937913506564
"88",698,934,1173,1733,2493,2024,0.192704748795595,0.395815662991235,0.289007397213143,1.47740835464621,0.360065466448445,-484.2744,3177.6198,-2386.8721,89.33,2655,110.095230102539,10.3097906112671,-2,4.75,17,8,0.540024546570299,59.6352374397798,0.183748216525813
"89",737,1073,1498,2304,2754,1995,0.211993687532877,0.349492671927847,0.317948717948718,1.53805073431242,0.295390404515522,-295.5782,3826.3933,-2462.8099,0,1616,74.744873046875,5.42764282226562,1.25,2.25,7,16,0.443033509700176,60.5996843766439,0.10972150954282
"90",759,1056,1428,2251,2802,2131,0.223702092960043,0.401267674305217,0.335507541785569,1.57633053221289,0.324822695035461,-338.8676,3795.9057,-2580.5272,0,1658,175.601287841797,3.10963296890259,0.375,1.125,4,4,0.487176456683607,61.1851046480022,0.13429575894401
"91",686,947,1194,1923,2649,2135,0.233878729547642,0.462211514075577,0.350761828388132,1.6105527638191,0.378610460577674,-395.0506,3372.4398,-2551.6506,54.66,1841,29.0546035766602,2.4563946723938,-0.75,1,4,128,0.567841810849486,61.6939364773821,0.297256133500067
"92",583,857,1028,2045,2332,1895,0.330946957370648,0.661850839515814,0.496339677891654,1.98929961089494,0.388095238095238,-97.3052,3209.4221,-2234.1845,60,1855,71.5650482177734,2.26363611221313,-0.75,1,3,128,0.58205624163071,66.5473478685324,0.300079750615267
"93",1044,1428,1767,2391,3021,2640,0.15007215007215,0.302091402013943,0.225081159071781,1.35314091680815,0.261904761904762,-762.0996,4406.322,-2826.7899,40,1518,149.036239624023,1.39176344871521,-0.375,0.625,2,2,0.39281612195886,57.5036075036075,0.093049972689727
"94",892,1272,1641,2670,3218,2576,0.238691718858733,0.441479320405011,0.357996057056709,1.62705667276051,0.324552377032311,-392.1628,4470.2124,-3009.278,2,1605,51.8427734375,8.43945026397705,-2,3.5,13,32,0.486778475151765,61.9345859429367,0.109636425674557
"95",859,1185,1503,2804,3010,2404,0.302066403529139,0.60449772325992,0.453047011027278,1.86560212907518,0.333924218923111,-143.808,4388.3739,-2789.2021,1.34,1706,0,2.86240530014038,0.625,1.375,3,64,0.500830840810901,65.1033201764569,0.179829961110128
"96",1087,1534,1955,2530,3228,2816,0.128205128205128,0.235327821887534,0.192286255712853,1.29411764705882,0.245610650202585,-854.168,4709.3699,-3019.0254,35.33,1903,33.6900634765625,1.72100615501404,0.75,0.75,3,32,0.368380437928041,56.4102564102564,0.093932307987232
"97",999,1292,1574,2256,2951,2509,0.178067885117493,0.405132470001188,0.267066962537528,1.43329097839898,0.304309392265193,-668.8164,4129.9805,-2770.4665,82.66,1962,153.434951782227,1.06752026081085,-0.125,0.375,2,2,0.456413655949619,58.9033942558747,0.15172875206137
"98",579,800,849,1767,2212,1712,0.350917431192661,0.910895018852947,0.5262755589528,2.08127208480565,0.445279320483502,-136.8362,2865.1821,-2092.1024,120.67,2648,123.690063476562,5.15065240859985,-1.125,2.125,8,16,0.66780989710926,67.545871559633,0.174221576923574
"99",1043,1361,1701,2462,2844,2465,0.18280086476099,0.392551325698958,0.274168367959649,1.44738389182834,0.251485148514851,-608.1838,4334.6535,-2613.5279,36,2008,138.814071655273,5.06230688095093,0,2,7,2,0.377186228137719,59.1400432380495,0.114847310397834
