"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","ds"
"76",734,932,1203,1455,1485,1428,0.0948081264108352,0.198800883559482,0.142185442918939,1.20947630922693,0.104910714285714,-521.7852,2682.1518,-1303.1775,16.66,1354,7.2492527961731,13.3924980163574,3.5,4,13,128,"BLM"
"77",635,839,1017,1529,2029,1740,0.201099764336214,0.446070744032061,0.301590418221088,1.50344149459194,0.332239001969796,-414.6512,2763.0459,-1944.5786,50,1710,15.8061876296997,2.38594436645508,0.875,6.375,23,128,"BLM"
"78",737,1065,1434,1908,2220,1891,0.141831238779174,0.237689298967004,0.212715033657442,1.33054393305439,0.215106732348112,-499.1634,3383.7057,-2033.0029,2,1548,3.37228679656982,36.8698978424072,-0.875,1.375,4,64,"BLM"
"79",767,1047,1336,1698,2047,1779,0.119314436387607,0.228391167192429,0.178942165101335,1.27095808383234,0.210168489506355,-570.8108,3145.2709,-1859.5022,0,1613,4.53271436691284,41.9872131347656,1.25,2,6,1,"BLM"
"80",832,1129,1446,1837,2178,1979,0.119098385622906,0.228708469817501,0.178620374600274,1.27040110650069,0.201986754966887,-630.6664,3402.6258,-2013.2725,44,1592,18.3541488647461,19.7222747802734,1.125,7.875,28,128,"BLM"
"81",1018,1332,1710,2050,2615,2424,0.0904255319148936,0.181779298545766,0.135620263262864,1.19883040935673,0.209248554913295,-864.321,3971.8536,-2455.7007,22,1539,5.05115270614624,90,-0.125,1.875,7,32,"BLM"
"82",1151,1556,1991,2343,2868,2538,0.0812182741116751,0.155545735749006,0.121813357942092,1.1767955801105,0.180489812718666,-948.2062,4498.0241,-2582.012,28.67,1403,12.9424085617065,157.380142211914,-4,6,21,16,"BLM"
"83",1024,1348,1754,2405,3523,3031,0.156528011541236,0.31,0.234763793725207,1.37115165336374,0.33522834944097,-826.3658,4549.262,-3443.1019,4,1817,1.96786379814148,120.963760375977,0,0.75,3,2,"BLM"
"84",842,1114,1455,1944,3021,2510,0.143865842894969,0.280389908256881,0.215767024562436,1.3360824742268,0.349865951742627,-718.3122,3755.736,-2935.2329,42.66,1895,3.38906717300415,84.2894134521484,0.25,1.25,5,2,"BLM"
"85",904,1193,1518,1922,3011,2617,0.117441860465116,0.237591155022348,0.176137189362011,1.26613965744401,0.329653345109296,-838.9696,3833.2542,-2947.6698,38.66,1830,6.91817474365234,29.0546045303345,1.5,3,10,64,"BLM"
