"","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band7","ndvi","evi","savi","sr","ndsvi","greenness","brightness","wetness","total_shrubs","elevation","slope","folded_aspect","tpi","tri","roughness","flowdir","split"
"89",991,1316,1499,2017,2563,2313,0.147326507394767,0.361782371839642,0.220958339257785,1.34556370913943,0.261939931068439,-1.89350000000007,4069.0265,1415.0458,20,1694,0,43.4292036294937,0,0,0,128,FALSE
"90",1116,1486,1828,2362,2789,2514,0.12744630071599,0.269098971981455,0.191146641212266,1.29212253829322,0.208143816330951,12.728,4661.9468,1641.4138,0,1695,0.0343457013368607,43.1842249631882,-1.625,1.625,4,2,FALSE
"91",1256,1661,1998,2562,3066,2742,0.123684210526316,0.274800233872539,0.185505975222015,1.28228228228228,0.210900473933649,-17.0378999999999,5111.085,1815.0463,35,1703,0.0657857209444046,44.3944553136826,0.25,1.5,6,128,FALSE
"92",666,886,944,1769,2389,1840,0.304091411721342,0.845633456334563,0.456053067993367,1.8739406779661,0.433543354335434,316.707,3211.5867,1276.7444,20,1729,0.00589248817414045,44.2146018147469,-1.75,1.75,4,1,FALSE
"93",631,922,973,2687,2739,1939,0.468306010928962,1.1295637274285,0.702363065155033,2.76156217882837,0.475754310344828,1012.5071,3894.5881,1615.9734,0,1817,0.0847799479961395,43.2318080663681,-0.75,2,7,2,FALSE
"94",819,1242,1523,2279,2715,2335,0.198842714360863,0.35825988058004,0.298224852071006,1.49638870650033,0.281264747522416,239.5743,4219.3409,1533.8914,10,1675,0.343735635280609,42.0695006847382,-2.25,9,25,4,FALSE
"95",1065,1544,1961,2421,2390,2180,0.104974897307166,0.185468913797274,0.157444381061038,1.23457419683835,0.0985980234428867,33.9935000000003,4581.4172,1634.6715,0,1427,0.0647275745868683,42.6438055038452,3.125,3.875,12,8,FALSE
"96",1271,1686,2077,2492,2832,2446,0.0908295031735609,0.191332411249424,0.136229346755663,1.1998074145402,0.153799144428601,-78.2936999999998,4986.7267,1855.4851,0,1499,0.433493793010712,41.622162103653,-4.25,11,31,4,FALSE
"97",995,1275,1543,1958,2533,2478,0.118537560696944,0.27633506458916,0.177780951020991,1.26895657809462,0.24288518155054,-83.3974,4071.8571,1289.9134,40,1497,0.0131753943860531,42.1801578998566,-0.25,0.25,1,16,FALSE
"98",927,1206,1487,1959,2233,2118,0.136970400464306,0.300292658098995,0.205425794284056,1.31741761936785,0.200537634408602,27.3745000000003,3822.2862,1272.3587,30,1622,0.0591503791511059,42.544136762619,-0.25,1.25,5,2,FALSE
"99",877,1206,1459,2227,2719,2315,0.208355941399891,0.435917811329322,0.312491523124915,1.52638793694311,0.301579703207276,233.6077,4147.6583,1515.2416,15,1767,0.129442989826202,42.553145647049,0.125,2.875,11,2,FALSE
"100",895,1207,1459,1959,2302,2183,0.146284376828555,0.312382856428839,0.219394471259324,1.34270047978067,0.224142515288487,36.6522000000001,3837.2223,1270.1201,35,1592,0.0372505597770214,42.9655561447144,0.375,0.875,3,2,FALSE
"101",925,1247,1435,2129,3138,2613,0.194725028058361,0.456278763971072,0.292046570346472,1.48362369337979,0.372403236387492,105.378,4304.5181,1605.0969,35,1716,0.078892856836319,43.7509542703629,-0.375,1.875,7,128,FALSE
"102",805,1075,1267,1834,2011,1767,0.182844243792325,0.4169730842771,0.274222150572304,1.4475138121547,0.226967663209274,143.8682,3399.4132,1217.2043,5,1750,0.0186317432671785,44.5363523960114,0.5,0.5,1,64,FALSE
"103",738,1075,1295,1999,2195,1896,0.213721918639951,0.415584415584416,0.320534223706177,1.54362934362934,0.257879656160458,253.1865,3583.1091,1296.5047,10,1796,0.0996686518192291,41.8584072589874,0,2.25,6,4,FALSE
